"id";"cycles";"model";"country";"failure_cause";"failure_cause_group";"assembly_date";"failure_date";"year";"month"
"556e343d5ec073310bd06c31426d986a";6,04;"B";"BRA";41149168;818;"2010-01-05";"2010-01-20";"2010";"01"
"80e7886b264756084985697ad53321ca";757,024;"B";"BRA";170219360;213;"2010-01-04";"2010-12-20";"2010";"01"
"8eb6e087e4895bf6e6264b1f0d2f273e";357,112;"B";"BRA";0;177;"2010-01-04";"2011-01-14";"2010";"01"
"a97be64feca7da59cea0b6889137a116";344,568;"B";"BRA";0;177;"2010-01-04";"2010-12-31";"2010";"01"
"b36946a8aee6e2ebaa911cab4ed46081";1229,848;"A";"BRA";41859906;865;"2010-01-04";"2011-01-18";"2010";"01"
"3ac9616688a51570bc85e4d97a63f347";1321,088;"A";"BRA";42753952;818;"2010-01-04";"2010-12-23";"2010";"01"
"8de4c35b2933bfb87188380327fb552b";976;"A";"BRA";41517628;265;"2010-01-04";"2010-12-28";"2010";"01"
"65d5064dd26880ab158bae5ab54b7533";968,368;"A";"BRA";42753952;818;"2010-01-04";"2010-12-27";"2010";"01"
"1627d3e366130cd68fa944b7dd41f950";1185,728;"A";"BRA";41180504;432;"2010-01-04";"2011-01-19";"2010";"01"
"1f2fa89dffaa8e9e7196ecb7a8a6864d";818,952;"A";"BRA";42709194;364;"2010-01-04";"2010-12-29";"2010";"01"
"1f2fa89dffaa8e9e7196ecb7a8a6864d";818,952;"A";"BRA";3344254;461;"2010-01-04";"2010-12-29";"2010";"01"
"3beefc395c7f387208514ca04868e67b";1525,864;"A";"BRA";6383750;465;"2010-01-04";"2011-01-17";"2010";"01"
"dfb258a9e388b53d5b89c7085795fe88";1248,456;"A";"BRA";164734226;352;"2010-01-04";"2011-01-14";"2010";"01"
"dfb258a9e388b53d5b89c7085795fe88";1248,456;"A";"BRA";164734230;352;"2010-01-04";"2011-01-14";"2010";"01"
"dfb258a9e388b53d5b89c7085795fe88";1248,456;"A";"BRA";41635484;215;"2010-01-04";"2011-01-14";"2010";"01"
"dfb258a9e388b53d5b89c7085795fe88";1248,456;"A";"BRA";42753952;818;"2010-01-04";"2011-01-14";"2010";"01"
"dfb258a9e388b53d5b89c7085795fe88";1248,456;"A";"BRA";164734226;352;"2010-01-04";"2011-01-18";"2010";"01"
"dfb258a9e388b53d5b89c7085795fe88";1248,456;"A";"BRA";164734230;352;"2010-01-04";"2011-01-18";"2010";"01"
"6ed00c8fb62d15a8e9c074743748481f";1295,656;"A";"BRA";6196974;642;"2010-01-04";"2011-01-10";"2010";"01"
